Num	Met_ID	Met_name
1	m00003c	(10Z)-heptadecenoic acid
2	m00003r	(10Z)-heptadecenoic acid
3	m00003s	(10Z)-heptadecenoic acid
4	m00004c	(10Z)-heptadecenoyl-CoA
5	m00004m	(10Z)-heptadecenoyl-CoA
6	m00004r	(10Z)-heptadecenoyl-CoA
7	m00006c	(11Z)-docosenoyl-CoA
8	m00006m	(11Z)-docosenoyl-CoA
9	m00006r	(11Z)-docosenoyl-CoA
10	m00007c	(11Z)-eicosenoyl-CoA
11	m00007m	(11Z)-eicosenoyl-CoA
12	m00007p	(11Z)-eicosenoyl-CoA
13	m00007r	(11Z)-eicosenoyl-CoA
14	m00008c	(11Z,14Z)-eicosadienoic acid
15	m00008r	(11Z,14Z)-eicosadienoic acid
16	m00008s	(11Z,14Z)-eicosadienoic acid
17	m00009c	(11Z,14Z)-eicosadienoyl-CoA
18	m00009m	(11Z,14Z)-eicosadienoyl-CoA
19	m00009r	(11Z,14Z)-eicosadienoyl-CoA
20	m00010c	(11Z,14Z,17Z)-eicosatrienoic acid
21	m00010r	(11Z,14Z,17Z)-eicosatrienoic acid
22	m00010s	(11Z,14Z,17Z)-eicosatrienoic acid
23	m00011c	(11Z,14Z,17Z)-eicosatrienoylcarnitine
24	m00011m	(11Z,14Z,17Z)-eicosatrienoylcarnitine
25	m00011r	(11Z,14Z,17Z)-eicosatrienoylcarnitine
26	m00012c	(11Z,14Z,17Z)-eicosatrienoyl-CoA
27	m00012m	(11Z,14Z,17Z)-eicosatrienoyl-CoA
28	m00012r	(11Z,14Z,17Z)-eicosatrienoyl-CoA
29	m00013c	(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate
30	m00014p	(13E)-tetranor-16-carboxy-LTE4
31	m00015p	(13E)-tetranor-16-oxo-16-CoA-LTE4
32	m00016c	(13Z)-docosenoyl-CoA
33	m00016m	(13Z)-docosenoyl-CoA
34	m00016p	(13Z)-docosenoyl-CoA
35	m00016r	(13Z)-docosenoyl-CoA
36	m00017c	(13Z)-eicosenoic acid
37	m00017r	(13Z)-eicosenoic acid
38	m00017s	(13Z)-eicosenoic acid
39	m00018c	(13Z)-eicosenoyl-CoA
40	m00018m	(13Z)-eicosenoyl-CoA
41	m00018p	(13Z)-eicosenoyl-CoA
42	m00018r	(13Z)-eicosenoyl-CoA
43	m00019c	(13Z)-octadecenoic acid
44	m00019r	(13Z)-octadecenoic acid
45	m00019s	(13Z)-octadecenoic acid
46	m00020c	(13Z)-octadecenoyl-CoA
47	m00020m	(13Z)-octadecenoyl-CoA
48	m00020r	(13Z)-octadecenoyl-CoA
49	m00021c	(13Z,16Z)-docosadienoic acid
50	m00021r	(13Z,16Z)-docosadienoic acid
51	m00021s	(13Z,16Z)-docosadienoic acid
52	m00022c	(13Z,16Z)-docosadienoylcarnitine
53	m00022m	(13Z,16Z)-docosadienoylcarnitine
54	m00022r	(13Z,16Z)-docosadienoylcarnitine
55	m00023c	(13Z,16Z)-docosadienoyl-CoA
56	m00023m	(13Z,16Z)-docosadienoyl-CoA
57	m00023r	(13Z,16Z)-docosadienoyl-CoA
58	m00024c	(15Z)-tetracosenoylcarnitine
59	m00024r	(15Z)-tetracosenoylcarnitine
60	m00025c	(15Z)-tetracosenoyl-CoA
61	m00025p	(15Z)-tetracosenoyl-CoA
62	m00025r	(15Z)-tetracosenoyl-CoA
63	m00026m	(18E)-20-oxo-20-CoA-LTB4
64	m00026p	(18E)-20-oxo-20-CoA-LTB4
65	m00027p	(18E)-20-oxo-20-CoA-LTE4
66	m00028c	(18R)-HEPE
67	m00030c	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol
68	m00031c	(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
69	m00032c	(1R,2S)-naphthalene 1,2-oxide
70	m00033c	(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
71	m00034c	(1S,2R)-naphthalene 1,2-oxide
72	m00035c	(24R)-24,25-dihydroxycalciol
73	m00036m	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA
74	m00036p	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA
75	m00037p	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA
76	m00038c	(2E)-decenoyl-[ACP]
77	m00039m	(2E)-decenoyl-CoA
78	m00039p	(2E)-decenoyl-CoA
79	m00040c	(2E)-docosenoyl-CoA
80	m00040m	(2E)-docosenoyl-CoA
81	m00040p	(2E)-docosenoyl-CoA
82	m00041c	(2E)-dodecenoyl-[ACP]
83	m00042m	(2E)-dodecenoyl-CoA
84	m00042p	(2E)-dodecenoyl-CoA
85	m00043c	(2E)-eicosenoyl-CoA
86	m00043m	(2E)-eicosenoyl-CoA
87	m00043p	(2E)-eicosenoyl-CoA
88	m00044c	(2E)-heneicosenoyl-CoA
89	m00044m	(2E)-heneicosenoyl-CoA
90	m00045c	(2E)-heptadecenoyl-[ACP]
91	m00046m	(2E)-heptadecenoyl-CoA
92	m00047c	(2E)-heptenoyl-[ACP]
93	m00048m	(2E)-heptenoyl-CoA
94	m00049c	(2E)-hexacosenoyl-CoA
95	m00049p	(2E)-hexacosenoyl-CoA
96	m00050c	(2E)-hexadecenoyl-[ACP]
97	m00051m	(2E)-hexadecenoyl-CoA
98	m00051p	(2E)-hexadecenoyl-CoA
99	m00052c	(2E)-hexenoyl-[ACP]
100	m00053m	(2E)-hexenoyl-CoA
101	m00053p	(2E)-hexenoyl-CoA
102	m00054c	(2E)-nonadecenoyl-CoA
103	m00054m	(2E)-nonadecenoyl-CoA
104	m00055c	(2E)-nonenoyl-[ACP]
105	m00056m	(2E)-nonenoyl-CoA
106	m00057c	(2E)-octadecenoyl-CoA
107	m00057m	(2E)-octadecenoyl-CoA
108	m00057p	(2E)-octadecenoyl-CoA
109	m00058c	(2E)-octenoyl-[ACP]
110	m00059m	(2E)-octenoyl-CoA
111	m00059p	(2E)-octenoyl-CoA
112	m00060c	(2E)-pentadecenoyl-[ACP]
113	m00061m	(2E)-pentadecenoyl-CoA
114	m00062c	(2E)-pentenoyl-[ACP]
115	m00063m	(2E)-pentenoyl-CoA
116	m00064c	(2E)-tetracosenoyl-CoA
117	m00064p	(2E)-tetracosenoyl-CoA
118	m00065c	(2E)-tetradecenoyl-[ACP]
119	m00066m	(2E)-tetradecenoyl-CoA
120	m00066p	(2E)-tetradecenoyl-CoA
121	m00067c	(2E)-tricosenoyl-CoA
122	m00068c	(2E)-tridecenoyl-[ACP]
123	m00069m	(2E)-tridecenoyl-CoA
124	m00070c	(2E)-undecenoyl-[ACP]
125	m00071m	(2E)-undecenoyl-CoA
126	m00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA
127	m00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA
128	m00074c	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA
129	m00075p	(2R)-pristanoyl-CoA
130	m00076p	(2R,6R,10R)-trimethyl-hendecanoyl-CoA
131	m00077p	(2R,6S,10S)-pristanate
132	m00078p	(2S)-pristanoyl-CoA
133	m00079p	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA
134	m00080p	(2S,6R,10R)-trimethyl-hendecanoyl-CoA
135	m00081m	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA
136	m00081p	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA
137	m00082m	(3S)-3-hydroxydodec-cis-6-enoyl-CoA
138	m00082p	(3S)-3-hydroxydodec-cis-6-enoyl-CoA
139	m00083m	(3S)-3-hydroxylinoleoyl-CoA
140	m00083p	(3S)-3-hydroxylinoleoyl-CoA
141	m00085c	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA
142	m00086c	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA
143	m00087c	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA
144	m00088m	(3Z)-dodecenoyl-CoA
145	m00088p	(3Z)-dodecenoyl-CoA
146	m00089m	(3Z,7Z,10Z)-hexadecatrienoyl-CoA
147	m00090p	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA
148	m00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA
